1,737,1354,789,1355,788,1375,736,1374, 27975,OTHER
2,591,1294,733,1291,733,1322,591,1325, Hen gap lai,OTHER
3,444,1262,775,1257,776,1287,444,1292, Tong cam cho Guy Khach da den nua,OTHER
4,360,1170,665,1168,665,1198,360,1200, Dien su dung trong hoa don:,OTHER
5,364,1138,521,1142,520,1171,363,1167, Dien dau ngay:,OTHER
6,362,1108,446,1111,445,1138,361,1135, Ho ten:,OTHER
7,361,1080,449,1083,448,1107,360,1104,,OTHER
8,342,1042,701,1046,701,1080,341,1077, THONG TIN KHÁCH HANG THAN THIET:,OTHER
9,693,1019,784,1012,786,1043,695,1050, 2,227.27,OTHER
10,340,1017,585,1015,585,1049,339,1051, Bao gon thue GTCT 107.,OTHER
11,684,987,784,984,785,1012,685,1016, 24,500.00,OTHER
12,347,990,439,992,438,1017,346,1016, Tien nat,OTHER
13,346,959,600,957,599,988,346,989, Phuong thuc thanh toan:,OTHER
14,401,900,606,900,605,930,400,929, Tong so luong hang to,OTHER
15,679,869,781,869,781,900,679,900, 24,500.00,TOTAL_COST
16,352,872,608,869,610,897,352,901, Tong so tien thanh toan:,TOTAL_COST
17,688,814,777,808,780,838,690,844, 4,600.00,OTHER
18,534,814,619,814,619,841,534,841, 4,600.00,OTHER
19,352,811,467,814,466,842,352,839,,OTHER
20,353,781,777,786,776,816,352,811, 08934577030091 Bot canh Tot Hai Chau 1709,OTHER
21,614,760,715,759,714,783,614,784, 10,600,00,OTHER
22,373,758,461,763,460,788,371,782, Bia goci,OTHER
23,670,732,775,731,775,756,671,757, 10,000.00,OTHER
24,522,733,629,730,630,756,522,759, 10,000.00,OTHER
25,356,728,469,731,469,757,355,753, VATIOX,OTHER
26,354,700,725,701,725,734,354,733, 08935039500257 Bngot AJINOMOTO 1409,OTHER
27,685,677,772,675,773,700,686,703, 3,900.00,OTHER
28,535,679,638,676,639,701,536,704, 7,900,00,OTHER
29,358,674,475,676,475,702,357,699,,OTHER
30,499,573,769,573,769,598,499,599, Ngay: 23/09/2019,TIMESTAMP
31,358,573,453,571,453,598,358,598, Quay 12,OTHER
32,359,516,758,525,757,553,358,545, Co gia tri xuat Hoa don STST trong ngay,OTHER
33,423,494,729,495,728,520,422,518,,OTHER
34,423,443,738,450,737,474,423,467, Nebsite: waw.saigonco-op.com.vn,OTHER
35,433,417,730,421,730,447,433,443, Emailrocfthekparkscoopfood,vn,OTHER
36,442,366,717,371,717,395,442,390, tai Khu do thi noi Van Phu,,ADDRESS
37,365,340,765,344,765,373,364,369, Du an Dau tu xay dung Khu nha o Hi Brand,ADDRESS
38,374,317,755,318,755,345,374,344, ket hop dich vu tren o dat H-C12 thuoc,ADDRESS
39,369,292,763,293,763,321,369,320, Tang 1,5H42 - Toa K3, Cong trinh chung cu,ADDRESS
40,446,269,707,268,706,293,446,293, Ma so thuet 0309129418-115,OTHER
41,456,245,695,242,696,268,456,271, Co,op Food HN THE K-PARK,SELLER
