1,142,905,512,908,512,937,142,934, Xin cám ơn và hẹn gặp lại quý khách l,OTHER
2,264,883,404,883,404,905,263,906, Thu ngân: BH3,OTHER
3,95,844,576,845,576,871,95,869, SỐ GD: 000AC2212008001605 Ngày: 12/08/2020-12:23,TIMESTAMP
4,312,800,361,800,360,824,311,824, VND,OTHER
5,73,796,223,798,222,820,72,818, Tiển khách trả:,OTHER
6,499,798,582,796,582,823,499,824, 100,000,OTHER
7,71,762,186,767,185,794,70,789, Tổng cộng:,TOTAL_COST
8,499,760,579,761,579,785,499,784, 100,000,TOTAL_COST
9,72,728,156,732,154,762,70,758, Tổng số:,OTHER
10,505,688,575,689,575,712,505,711, 88,000,OTHER
11,365,686,436,684,438,711,366,713, 88,000,OTHER
12,78,657,401,654,401,677,79,680, 291002560000 Dầu Simply 2L NT,OTHER
13,375,616,434,612,437,640,378,643, 6,000,OTHER
14,504,615,575,616,575,643,504,642, 12,000,OTHER
15,80,588,480,584,481,606,81,610, 8935039513189 Bột chiên ajiquick 35g NT,OTHER
16,87,553,559,550,558,574,86,577,,OTHER
17,192,510,467,507,468,538,193,540, HÓA ĐƠN BÁN HÀNG,OTHER
18,201,431,454,432,454,453,201,452, Chợ Sủi Phú Thị Gia Làm,ADDRESS
19,229,398,431,397,430,419,229,419, MINIMARTANAN,SELLER
